,Salary
2842,64182.0
2642,117314.0
1658,165000.0
1670,145000.0
3113,144647.0
4760,31000.0
1114,180000.0
1238,165000.0
4398,37000.0
301,55000.0
6262,90000.0
6613,190000.0
3778,35000.0
2577,177177.0
2376,169159.0
6017,115000.0
2410,105725.0
2675,70000.0
6614,75000.0
377,120000.0
4537,32000.0
2818,166958.0
6301,40000.0
2411,52731.0
2375,122485.0
177,50000.0
4277,36000.0
6276,100000.0
86,45000.0
4022,150000.0
6358,190000.0
1205,100000.0
54,50000.0
4521,50000.0
222,100000.0
113,90000.0
2453,94502.0
3386,60000.0
2548,155944.0
174,45000.0
5132,110000.0
5887,80000.0
18,35000.0
978,195000.0
4562,95000.0
299,100000.0
4765,48000.0
1091,180000.0
4529,50000.0
1661,110000.0
31,55000.0
4035,90000.0
2544,62807.0
215,100000.0
6480,150000.0
376,125000.0
1333,185000.0
2813,119918.0
2391,166512.0
5644,110000.0
397,110000.0
147,60000.0
523,180000.0
83,250000.0
48,120000.0
1216,90000.0
155,110000.0
6584,75000.0
4017,45000.0
3129,121432.0
5141,65000.0
1249,180000.0
179,170000.0
6012,120000.0
6286,50000.0
6341,120000.0
1284,180000.0
508,190000.0
3899,30000.0
6585,170000.0
2385,69032.0
2649,125091.0
5144,50000.0
1562,55000.0
4278,152000.0
244,70000.0
3639,60000.0
5392,160000.0
338,150000.0
1098,185000.0
6357,70000.0
2866,101733.0
334,95000.0
1093,195000.0
547,195000.0
1348,155000.0
6040,185000.0
181,105000.0
2580,128712.0
1673,110000.0
2804,77606.0
6289,120000.0
2600,191818.0
6296,90000.0
321,65000.0
2839,108267.0
1209,180000.0
3648,75000.0
3902,190000.0
610,170000.0
2795,138859.0
2854,191239.0
126,95000.0
6365,35000.0
6475,180000.0
517,196000.0
6378,95000.0
3454,70000.0
2779,103579.0
210,110000.0
3909,100000.0
140,40000.0
4152,225000.0
4877,110000.0
2638,179045.0
4756,125000.0
5128,130000.0
2388,166375.0
3417,140000.0
2264,90000.0
6364,80000.0
10,75000.0
6316,60000.0
2837,147326.0
296,130000.0
308,120000.0
1774,130000.0
3094,91903.0
2261,100000.0
129,105000.0
3106,88678.0
351,55000.0
2678,45000.0
2592,185462.0
2841,100867.0
6320,160000.0
6298,130000.0
2272,50000.0
2650,172925.0
6280,170000.0
158,185000.0
2666,130000.0
1782,195000.0
1267,175000.0
4147,162000.0
1535,190000.0
196,90000.0
5255,65000.0
2269,70000.0
962,190000.0
96,160000.0
3412,70000.0
4519,35000.0
156,50000.0
972,195000.0
2622,102868.0
1225,200000.0
2584,72649.0
1918,130000.0
4636,55000.0
4026,70000.0
3445,95000.0
1110,195000.0
2596,63901.0
178,80000.0
815,196000.0
1409,140000.0
2554,158254.0
5878,120000.0
2624,111535.0
5256,130000.0
6384,190000.0
2578,89843.0
5635,75000.0
2616,174726.0
1913,135000.0
142,50000.0
4535,42000.0
4145,174000.0
974,150000.0
1784,170000.0
5269,120000.0
2816,72389.0
1663,85000.0
319,120000.0
2414,119836.0
6361,140000.0
88,135000.0
41,190000.0
6459,55000.0
131,45000.0
6264,120000.0
6294,35000.0
2651,126916.0
6311,110000.0
2797,182392.0
164,120000.0
2379,78354.0
305,95000.0
6352,75000.0
2793,73640.0
510,90000.0
1358,130000.0
2447,173851.0
6609,140000.0
3385,80000.0
4881,95000.0
3463,40000.0
6033,195000.0
1206,60000.0
601,195000.0
383,190000.0
3092,182768.0
6010,160000.0
4274,125000.0
2819,145052.0
2552,151901.0
6313,70000.0
6137,145000.0
378,110000.0
2594,90944.0
344,160000.0
6029,145000.0
3776,65000.0
5653,170000.0
167,150000.0
12,65000.0
171,40000.0
1891,90000.0
272,90000.0
3441,65000.0
4023,95000.0
2012,110000.0
270,150000.0
4526,130000.0
138,60000.0
1314,130000.0
2590,171036.0
4545,50000.0
3393,140000.0
3108,154990.0
1331,70000.0
139,120000.0
5655,90000.0
1290,155000.0
225,105000.0
2378,166109.0
2441,119224.0
2553,100052.0
961,100000.0
375,160000.0
4157,168000.0
324,40000.0
3413,150000.0
3134,148437.0
2667,65000.0
6314,30000.0
2271,140000.0
193,95000.0
1103,195000.0
1387,55000.0
1253,90000.0
1652,130000.0
3095,147708.0
6042,95000.0
3,60000.0
2869,135596.0
3147,200000.0
1215,75000.0
349,110000.0
5,55000.0
223,140000.0
1310,55000.0
229,190000.0
39,160000.0
1302,130000.0
243,150000.0
3889,55000.0
136,140000.0
3119,131860.0
5888,150000.0
5754,100000.0
6463,100000.0
2564,150248.0
1108,190000.0
2673,50000.0
4033,80000.0
3765,100000.0
6283,35000.0
1412,120000.0
6014,85000.0
6597,90000.0
1910,80000.0
1099,130000.0
6312,45000.0
608,90000.0
4395,179000.0
340,90000.0
1105,180000.0
2865,70216.0
347,180000.0
295,60000.0
2660,75000.0
3118,87584.0
4523,32000.0
980,170000.0
1319,170000.0
1530,75000.0
6589,55000.0
541,110000.0
3905,85000.0
2640,103282.0
5131,60000.0
5127,120000.0
5500,35000.0
228,120000.0
2824,91062.0
6318,80000.0
3645,90000.0
6008,70000.0
66,120000.0
945,180000.0
1410,65000.0
24,140000.0
212,40000.0
4555,32000.0
144,40000.0
1296,175000.0
2546,133326.0
2830,73218.0
3078,91397.0
85,95000.0
6263,35000.0
285,150000.0
6317,150000.0
6027,210000.0
2652,183417.0
6265,60000.0
1778,140000.0
4154,146000.0
6327,70000.0
6602,40000.0
3782,160000.0
3462,115000.0
1255,85000.0
286,60000.0
3779,120000.0
3466,135000.0
535,160000.0
5124,60000.0
1770,115000.0
2,150000.0
6,120000.0
2825,114290.0
337,90000.0
3766,150000.0
3784,85000.0
1914,65000.0
537,130000.0
6600,90000.0
216,95000.0
2781,137878.0
27,40000.0
4151,75000.0
1281,170000.0
6291,160000.0
2674,160000.0
1786,185000.0
327,55000.0
2277,200000.0
2195,95000.0
4638,140000.0
3772,130000.0
1772,80000.0
7,80000.0
268,60000.0
2538,168304.0
25,45000.0
386,145000.0
1360,165000.0
47,180000.0
4397,228000.0
106,50000.0
511,195000.0
55,95000.0
239,120000.0
214,130000.0
120,100000.0
4564,38000.0
2858,136449.0
2448,104127.0
72,190000.0
2657,90000.0
2547,75656.0
5640,200000.0
77,100000.0
2679,120000.0
2836,171468.0
45,40000.0
5389,55000.0
1278,185000.0
233,85000.0
1793,115000.0
4285,49000.0
4527,95000.0
3120,182013.0
1292,180000.0
5517,80000.0
4528,43000.0
1650,90000.0
1213,145000.0
4518,110000.0
2443,142360.0
5509,120000.0
3646,40000.0
3449,80000.0
60,170000.0
3452,95000.0
3414,40000.0
92,105000.0
1916,140000.0
2809,186794.0
6603,70000.0
194,120000.0
294,140000.0
2252,95000.0
2838,185982.0
521,160000.0
5374,160000.0
1270,160000.0
4153,36000.0
3132,151310.0
6356,150000.0
3100,137489.0
2582,121454.0
182,145000.0
3777,180000.0
3787,140000.0
110,110000.0
3458,33000.0
3404,65000.0
3146,80000.0
42,60000.0
2401,191790.0
125,40000.0
205,160000.0
3139,60000.0
52,60000.0
4515,95000.0
1307,140000.0
68,90000.0
3425,40000.0
4279,119000.0
1257,160000.0
4565,125000.0
379,180000.0
3088,141090.0
183,40000.0
137,50000.0
2634,123781.0
2451,104661.0
132,100000.0
80,70000.0
5006,50000.0
105,220000.0
4560,50000.0
1301,110000.0
4884,25000.0
384,155000.0
2814,174985.0
165,35000.0
249,170000.0
1109,155000.0
2868,180367.0
2593,107718.0
3136,115000.0
97,35000.0
6601,200000.0
2392,186963.0
3408,110000.0
102,150000.0
1097,170000.0
74,120000.0
6135,120000.0
3128,152560.0
2653,76898.0
5630,100000.0
5388,170000.0
5133,25000.0
2417,115920.0
2820,195270.0
694,165000.0
236,100000.0
279,180000.0
4160,96000.0
117,170000.0
5005,170000.0
2013,150000.0
259,350.0
4269,127000.0
94,75000.0
33,65000.0
4280,26000.0
6581,45000.0
1111,90000.0
2273,110000.0
5252,120000.0
4536,70000.0
0,90000.0
3785,70000.0
82,30000.0
3640,100000.0
2135,140000.0
4268,68000.0
3091,67556.0
2425,172955.0
6622,35000.0
6619,35000.0
4762,52000.0
4407,58000.0
956,170000.0
5645,28000.0
3444,40000.0
104,80000.0
2191,185000.0
3450,135000.0
2561,192344.0
62,80000.0
2587,131960.0
3764,60000.0
224,40000.0
145,90000.0
598,190000.0
4034,120000.0
6285,70000.0
4414,183000.0
5000,25000.0
3420,115000.0
9,110000.0
1112,185000.0
2265,80000.0
267,140000.0
2617,150534.0
810,135000.0
2643,186321.0
2659,140000.0
5624,60000.0
3390,40000.0
1208,175000.0
4640,100000.0
2789,192292.0
1251,125000.0
2394,163398.0
6307,120000.0
2603,99363.0
2386,101332.0
1299,155000.0
2254,180000.0
3906,25000.0
3786,50000.0
2863,190596.0
597,175000.0
1917,185000.0
6323,40000.0
519,193000.0
2798,151078.0
2438,138286.0
2390,149217.0
2867,55935.0
2801,167924.0
4543,110000.0
4405,92000.0
4409,77000.0
5511,180000.0
5634,170000.0
2620,137336.0
79,55000.0
2549,137775.0
5643,65000.0
2011,100000.0
4550,70000.0
57,140000.0
133,160000.0
2668,170000.0
6310,35000.0
2558,84407.0
1254,80000.0
6471,120000.0
509,150000.0
688,92000.0
2856,52779.0
2629,178284.0
2563,184816.0
6346,40000.0
1223,195000.0
4389,62000.0
3914,30000.0
1896,150000.0
172,115000.0
3429,55000.0
38,40000.0
2270,210000.0
90,120000.0
6462,35000.0
2610,149198.0
3665,110000.0
3138,100000.0
3435,38000.0
3773,75000.0
6583,70000.0
1248,150000.0
389,185000.0
28,140000.0
5375,55000.0
6279,55000.0
2680,60000.0
169,105000.0
2647,68472.0
1239,55000.0
2784,174821.0
3142,170000.0
2864,104378.0
1438,55000.0
2405,126753.0
1901,130000.0
235,45000.0
2387,121450.0
3436,135000.0
4286,182000.0
5139,170000.0
2669,110000.0
3110,175684.0
108,100000.0
6015,155000.0
1352,70000.0
3448,55000.0
3456,70000.0
2625,107906.0
2682,70000.0
3093,148727.0
5633,110000.0
3781,30000.0
6348,40000.0
2619,187951.0
5390,65000.0
2585,52612.0
2389,185119.0
2275,160000.0
1202,190000.0
276,160000.0
75,95000.0
1107,130000.0
947,165000.0
176,140000.0
3087,188288.0
5656,160000.0
4016,130000.0
3890,90000.0
1531,210000.0
61,50000.0
2607,183020.0
4408,219000.0
6335,30000.0
292,40000.0
36,60000.0
4534,85000.0
1911,195000.0
6266,70000.0
4159,122000.0
2808,106686.0
5755,150000.0
2393,75072.0
191,170000.0
2654,579.0
1204,195000.0
2134,180000.0
2415,99747.0
6267,40000.0
2383,127346.0
965,170000.0
3143,130000.0
2560,143084.0
4516,45000.0
1664,180000.0
114,35000.0
970,130000.0
6369,55000.0
2800,158966.0
1651,180000.0
6376,35000.0
89,55000.0
2583,179987.0
4538,80000.0
6375,130000.0
2408,181714.0
1247,60000.0
11,140000.0
948,198000.0
298,40000.0
3111,77766.0
3649,35000.0
2194,210000.0
5142,60000.0
6331,50000.0
2193,105000.0
2586,184006.0
159,40000.0
2630,75969.0
6582,160000.0
269,110000.0
385,130000.0
6336,75000.0
2871,191267.0
1266,195000.0
2847,177347.0
2423,193964.0
5882,100000.0
2416,168287.0
3908,60000.0
3661,50000.0
4284,101000.0
6611,90000.0
1273,180000.0
22,50000.0
518,95000.0
4144,95000.0
5502,50000.0
396,120000.0
1094,160000.0
1221,115000.0
218,35000.0
2646,177913.0
3783,60000.0
4885,160000.0
2843,182506.0
6473,80000.0
93,170000.0
2840,91397.0
3115,121120.0
3137,50000.0
4876,85000.0
2253,50000.0
6136,60000.0
2827,162454.0
153,35000.0
3144,50000.0
5638,30000.0
6625,80000.0
2444,151315.0
1411,190000.0
2260,220000.0
3768,30000.0
4162,162000.0
5380,65000.0
4024,25000.0
1235,60000.0
1332,165000.0
3421,70000.0
3399,50000.0
2536,106278.0
1263,55000.0
1781,90000.0
4396,74000.0
6043,170000.0
3430,45000.0
2445,181021.0
116,65000.0
2395,103947.0
3126,194638.0
2565,170995.0
119,120000.0
1900,185000.0
6366,130000.0
1783,95000.0
544,160000.0
280,50000.0
1899,140000.0
2670,50000.0
2557,194214.0
2601,176643.0
46,75000.0
5627,80000.0
2822,80247.0
2611,106662.0
2428,155414.0
3775,110000.0
6631,70000.0
4,200000.0
2835,150301.0
5641,50000.0
275,120000.0
4641,50000.0
6288,40000.0
1106,185000.0
2834,102828.0
3122,135378.0
2572,166828.0
6134,185000.0
330,50000.0
4575,32000.0
339,70000.0
149,175000.0
3428,120000.0
3769,70000.0
1400,165000.0
50,130000.0
6381,40000.0
2381,132720.0
2568,173582.0
3395,110000.0
3447,140000.0
1218,115000.0
2802,113334.0
1897,65000.0
951,175000.0
1262,95000.0
348,35000.0
19,180000.0
2143,170000.0
35,45000.0
2637,61095.0
2562,106132.0
6140,70000.0
959,150000.0
2655,65000.0
1297,80000.0
2413,73895.0
3107,181285.0
3657,160000.0
246,180000.0
3407,38000.0
2439,181132.0
1237,170000.0
154,95000.0
2792,124071.0
2588,102465.0
4281,190000.0
1773,200000.0
2145,210000.0
4633,500.0
1354,140000.0
6367,40000.0
17,115000.0
127,110000.0
4522,120000.0
4146,41000.0
6596,45000.0
2662,130000.0
2811,171652.0
6590,150000.0
190,95000.0
3419,35000.0
2823,177862.0
6580,120000.0
5268,50000.0
1653,170000.0
180,40000.0
326,150000.0
1245,60000.0
5513,50000.0
5628,150000.0
5376,100000.0
5250,55000.0
1268,75000.0
6612,55000.0
3114,162231.0
1224,140000.0
157,115000.0
3904,130000.0
3653,35000.0
16,90000.0
3117,177002.0
6599,190000.0
1308,195000.0
1902,105000.0
6628,90000.0
2851,132638.0
5377,120000.0
2790,52807.0
6338,180000.0
297,160000.0
2452,134858.0
5138,150000.0
226,160000.0
26,110000.0
6020,115000.0
1100,190000.0
6472,45000.0
4567,43000.0
230,45000.0
37,115000.0
2404,160976.0
3090,124141.0
4589,32000.0
1217,155000.0
5883,150000.0
6594,35000.0
2147,180000.0
6300,70000.0
1787,65000.0
5631,90000.0
3774,35000.0
3438,85000.0
4759,145000.0
5267,160000.0
4270,47000.0
6281,40000.0
2535,139095.0
160,90000.0
2787,190543.0
3644,70000.0
2556,112439.0
5501,160000.0
2612,186610.0
2648,113065.0
152,140000.0
6293,100000.0
1260,195000.0
3415,105000.0
4014,80000.0
6290,40000.0
103,50000.0
5011,80000.0
5007,140000.0
1425,120000.0
6587,110000.0
3423,30000.0
53,200000.0
151,120000.0
955,185000.0
6467,40000.0
208,170000.0
6351,110000.0
3402,32000.0
5885,120000.0
8,45000.0
2846,191510.0
6139,135000.0
3105,100151.0
1118,125000.0
265,40000.0
4401,25000.0
2631,143705.0
5654,60000.0
2615,143814.0
6343,90000.0
1771,170000.0
507,180000.0
5520,85000.0
274,40000.0
4394,91000.0
5002,120000.0
150,45000.0
1220,190000.0
1788,160000.0
6610,40000.0
6607,95000.0
1316,130000.0
2663,60000.0
1236,200000.0
6271,35000.0
3453,32000.0
146,150000.0
6386,170000.0
954,182000.0
2785,126520.0
6334,100000.0
1905,170000.0
4549,55000.0
1211,200000.0
4525,35000.0
186,95000.0
3427,35000.0
3780,75000.0
1655,210000.0
143,135000.0
2406,161393.0
2812,88552.0
198,55000.0
2618,68732.0
293,90000.0
318,40000.0
6282,95000.0
952,197000.0
122,50000.0
3666,65000.0
203,45000.0
5140,55000.0
2570,71699.0
247,50000.0
5003,80000.0
6360,75000.0
6337,40000.0
3433,115000.0
4879,140000.0
685,170000.0
6009,110000.0
2589,149748.0
220,170000.0
1789,100000.0
1,65000.0
112,130000.0
2255,65000.0
6373,50000.0
2782,92438.0
5884,65000.0
4644,45000.0
4643,130000.0
5626,45000.0
4158,85000.0
6268,150000.0
1104,110000.0
5510,25000.0
3416,65000.0
4020,170000.0
6319,35000.0
4580,43000.0
1912,115000.0
6292,55000.0
4021,40000.0
6024,75000.0
343,150000.0
1890,550.0
4887,120000.0
5259,55000.0
2266,180000.0
4561,45000.0
4149,26000.0
2803,194778.0
1775,155000.0
1780,145000.0
4276,240000.0
4634,45000.0
4642,55000.0
3910,75000.0
6479,70000.0
4018,25000.0
5379,185000.0
4548,40000.0
5519,55000.0
4530,60000.0
6383,55000.0
6359,40000.0
6306,75000.0
2450,98568.0
1794,195000.0
2844,136986.0
6295,80000.0
1325,55000.0
2140,200000.0
1408,200000.0
3389,120000.0
4030,110000.0
3641,150000.0
1280,195000.0
3104,184660.0
1300,125000.0
3652,180000.0
2403,95845.0
6309,90000.0
4883,155000.0
1232,180000.0
95,65000.0
2852,178684.0
1340,90000.0
4028,35000.0
2397,175966.0
2598,136533.0
6035,55000.0
5264,55000.0
2626,143885.0
6011,75000.0
2870,136062.0
207,120000.0
944,135000.0
2449,178859.0
2605,123386.0
949,150000.0
2421,188651.0
6297,35000.0
3900,120000.0
2860,151670.0
1790,180000.0
6345,160000.0
1660,160000.0
2791,174938.0
5886,45000.0
2380,90249.0
2142,150000.0
98,90000.0
2539,126593.0
6034,215000.0
958,180000.0
1252,185000.0
3116,79652.0
3101,83577.0
2664,220000.0
2434,181699.0
201,45000.0
134,35000.0
3096,163209.0
40,80000.0
2849,146075.0
231,120000.0
5503,100000.0
612,135000.0
302,120000.0
971,95000.0
835,92000.0
1528,95000.0
5512,200000.0
3442,32000.0
3131,183690.0
5378,50000.0
1797,185000.0
3432,55000.0
4544,105000.0
1271,175000.0
64,35000.0
14,40000.0
3469,140000.0
3109,108204.0
1240,190000.0
620,115000.0
187,100000.0
2418,128078.0
217,180000.0
2446,134641.0
3121,108799.0
2613,89995.0
387,115000.0
2278,100000.0
320,160000.0
2848,70397.0
4142,47000.0
5265,65000.0
1203,110000.0
6624,40000.0
2550,51831.0
282,170000.0
2826,128999.0
202,130000.0
161,175000.0
6013,50000.0
2384,120177.0
953,142000.0
2259,70000.0
5387,160000.0
3409,45000.0
1346,170000.0
4757,57000.0
2853,106218.0
2857,185038.0
4755,48000.0
6019,40000.0
3261,80000.0
206,50000.0
34,170000.0
2430,107895.0
1259,195000.0
5129,50000.0
5258,100000.0
6598,55000.0
4569,60000.0
91,40000.0
4539,42000.0
2632,197354.0
1341,170000.0
4546,95000.0
2431,148446.0
242,120000.0
13,130000.0
341,170000.0
1561,160000.0
689,195000.0
4267,26000.0
166,110000.0
2575,122581.0
20,80000.0
1795,150000.0
5497,120000.0
3434,70000.0
5518,160000.0
2566,88035.0
4031,25000.0
6026,185000.0
1336,80000.0
6476,75000.0
2146,90000.0
2788,131547.0
189,35000.0
2806,142421.0
2256,120000.0
5385,150000.0
6368,90000.0
1261,190000.0
3127,130356.0
1222,180000.0
6018,95000.0
2591,146351.0
2402,139398.0
264,110000.0
21,190000.0
4411,25000.0
1207,155000.0
3642,55000.0
290,110000.0
2786,152168.0
3771,40000.0
687,196000.0
2540,152203.0
5001,250000.0
5505,60000.0
399,140000.0
2424,104702.0
4406,52000.0
6339,80000.0
130,160000.0
6342,45000.0
2606,168906.0
3403,120000.0
4578,130000.0
87,80000.0
5262,160000.0
380,140000.0
3896,45000.0
1214,195000.0
121,180000.0
6287,75000.0
3089,152726.0
6455,115000.0
3140,90000.0
3410,89000.0
4161,49000.0
2595,100425.0
5137,25000.0
3406,80000.0
